,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_Macro F1,split1_test_Macro F1,split2_test_Macro F1,split3_test_Macro F1,split4_test_Macro F1,mean_test_Macro F1,std_test_Macro F1,rank_test_Macro F1,split0_test_Deceased macro F1,split1_test_Deceased macro F1,split2_test_Deceased macro F1,split3_test_Deceased macro F1,split4_test_Deceased macro F1,mean_test_Deceased macro F1,std_test_Deceased macro F1,rank_test_Deceased macro F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy
10,0.124058198928833,0.04615484900064676,0.015384149551391602,0.006897621538987989,gini,,20,50,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 20, 'n_estimators': 50}",0.7714678973143396,0.7917237395199077,0.8106703143944461,0.8171029724539741,0.7709139916687087,0.7923757830702752,0.019205713258963173,1,0.6623376623376623,0.7051671732522796,0.717607973421927,0.7335423197492165,0.6787878787878788,0.6994886015097928,0.025802812808047748,1,0.7724425887265136,0.791231732776618,0.8138075313807531,0.8179916317991632,0.7698744769874477,0.7930695923340991,0.02008997037591536,1
11,0.21165113449096679,0.06641910433764638,0.020549964904785157,0.0005759146813278462,gini,,20,100,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 20, 'n_estimators': 100}",0.772292804358965,0.7952821120419835,0.7932454876531456,0.8194595619763837,0.7743614471828556,0.7909282826426667,0.01708859419573362,3,0.6578073089700998,0.7134146341463414,0.6889632107023411,0.7375,0.6829268292682926,0.6961223966174149,0.027219663563301404,5,0.7745302713987474,0.7954070981210856,0.797071129707113,0.8200836820083682,0.7740585774058577,0.7922301517282344,0.017046049878333632,4
12,0.10356850624084472,0.002449779500585519,0.012266206741333007,0.0004640903816285373,entropy,100,2,50,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 2, 'n_estimators': 50}",0.750297619047619,0.7641721008973362,0.7834979030631204,0.8133571937063074,0.7281226410740715,0.7678894915576909,0.02903663140764432,24,0.6298701298701298,0.6807228915662651,0.6858974358974359,0.729559748427673,0.6125,0.6677100411523007,0.04196548444481995,23,0.7515657620041754,0.7620041753653445,0.7845188284518828,0.8138075313807531,0.7280334728033473,0.7679859540011007,0.02923887147577594,24
13,0.20028462409973144,0.0015429011874340199,0.020577764511108397,0.0004423264079843776,entropy,100,2,100,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 2, 'n_estimators': 100}",0.7544237949917464,0.7864830199383394,0.7936973200465993,0.8029799578059071,0.7517594957132286,0.7778687176991641,0.02091258524672279,17,0.6339869281045752,0.7104477611940297,0.6970684039087948,0.7151898734177216,0.648148148148148,0.6809682229546539,0.03341789861159421,19,0.755741127348643,0.7849686847599165,0.7949790794979079,0.803347280334728,0.7510460251046025,0.7780164394091595,0.020982417169367506,17
14,0.09693756103515624,0.0007892639208264762,0.011852169036865234,0.00028537955389826704,entropy,100,10,50,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 10, 'n_estimators': 50}",0.7600725879292277,0.7931100926270008,0.7729282305969423,0.811229819563153,0.7625445832993002,0.7799770628031247,0.019488338947093904,16,0.6402640264026404,0.7098765432098766,0.6730158730158731,0.7250000000000001,0.6666666666666666,0.6829646218590113,0.030591392010090823,15,0.7620041753653445,0.7933194154488518,0.7740585774058577,0.8117154811715481,0.7615062761506276,0.7805207851084459,0.01940665100802477,16
15,0.19214677810668945,0.0019512855225725955,0.020558881759643554,0.0011613722464754728,entropy,100,10,100,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 10, 'n_estimators': 100}",0.7671841564952672,0.7895662422167793,0.804773005377799,0.81507583874756,0.7580133825723973,0.7869225250819606,0.02164984837146477,8,0.6580645161290323,0.7051671732522796,0.7081967213114756,0.729559748427673,0.6666666666666667,0.6935309651574254,0.026937403387912028,7,0.7682672233820459,0.7891440501043842,0.8075313807531381,0.8158995815899581,0.7573221757322176,0.7876328823123488,0.02232042936655211,9
16,0.09417152404785156,0.0017988209468588992,0.011725521087646485,0.00024018560771135332,entropy,100,20,50,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 20, 'n_estimators': 50}",0.7710891550298342,0.7946952565221141,0.7973486011243097,0.821654024917318,0.7664227433119583,0.7902419561811069,0.019956147134206164,6,0.6579804560260586,0.7098765432098766,0.7,0.7430340557275542,0.6747720364741642,0.6971326182875306,0.029361399449456364,2,0.7724425887265136,0.7954070981210856,0.801255230125523,0.8221757322175732,0.7656903765690377,0.7913942051519467,0.020399490684619912,6
17,0.1894759178161621,0.0015256263002277554,0.02052154541015625,0.0005670324379554189,entropy,100,20,100,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 20, 'n_estimators': 100}",0.7689539309192875,0.7934840350540061,0.7899630586592655,0.8172374273720412,0.7638687146827624,0.7867014333374726,0.019107044254477082,9,0.6579804560260586,0.7055214723926381,0.6802721088435375,0.7352024922118381,0.6707317073170732,0.6899416473582292,0.027478408060907674,9,0.7703549060542797,0.7933194154488518,0.7949790794979079,0.8179916317991632,0.7635983263598326,0.788048671832007,0.019407631908043607,8
18,0.10494170188903809,0.0008924250493674278,0.012512302398681641,0.0003021026492987075,entropy,,2,50,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.759667883981999,0.781778319817024,0.7851739660012961,0.8122052979092679,0.7414615924361052,0.7760574120291385,0.02403329922740232,19,0.6375838926174497,0.7009063444108762,0.686084142394822,0.7306501547987617,0.6335403726708074,0.6777529813785435,0.037341419041259795,20,0.7620041753653445,0.7807933194154488,0.7866108786610879,0.8117154811715481,0.7405857740585774,0.7763419257344013,0.02391914794673501,19
19,0.21391334533691406,0.0021761022208243914,0.022136402130126954,0.0006768305032121933,entropy,,2,100,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.7585672070217959,0.7773284105185234,0.7860032512485784,0.8122453483476967,0.7476907446667783,0.7763669923606746,0.022450825278694242,18,0.6426229508196722,0.6892307692307692,0.6920634920634922,0.7345679012345679,0.6483180428134555,0.6813606312323914,0.033466175211246056,18,0.7599164926931107,0.7766179540709812,0.7866108786610879,0.8117154811715481,0.7468619246861925,0.7763445462565841,0.022341357560267602,18
20,0.12914743423461914,0.045985200455005815,0.017285966873168947,0.009813683467916222,entropy,,10,50,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.7627490073555547,0.7994412100692294,0.7793722466203445,0.8094272563331179,0.7625445832993002,0.7827068607355093,0.01902614507861834,11,0.6491803278688525,0.7160493827160493,0.6732026143790849,0.7244582043343654,0.6666666666666666,0.6859114391930037,0.029241062838105285,11,0.7640918580375783,0.7995824634655533,0.7824267782426778,0.8096234309623431,0.7615062761506276,0.7834461613717559,0.018987450863726094,12
21,0.191964054107666,0.0021738652025399753,0.020694494247436523,0.0004675373868127173,entropy,,10,100,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.7648528755545057,0.7931927432276935,0.7851360337914043,0.8172690563131466,0.7514242724049799,0.7823749962583461,0.022835123936020545,13,0.6535947712418302,0.7076923076923075,0.6776315789473685,0.7335423197492165,0.6461538461538461,0.6837229647569137,0.03290212525287084,14,0.7661795407098121,0.7933194154488518,0.7887029288702929,0.8179916317991632,0.7510460251046025,0.7834479083865445,0.02309289623069705,11
22,0.09265069961547852,0.0004235417151437325,0.011766958236694335,0.0004194775372275353,entropy,,20,50,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 20, 'n_estimators': 50}",0.7681855692038737,0.7932850910780509,0.8041075608918603,0.8235329884306682,0.7664566159374339,0.7911135651083774,0.02171744275288168,2,0.6511627906976744,0.7055214723926381,0.7086092715231788,0.7437500000000001,0.6746987951807228,0.6967484659588428,0.031594399260579865,3,0.7703549060542797,0.7933194154488518,0.8075313807531381,0.8242677824267782,0.7656903765690377,0.7922327722504171,0.022111580180361565,2
23,0.18277859687805176,0.001448826505165434,0.019797754287719727,0.00035575552683742495,entropy,,20,100,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 20, 'n_estimators': 100}",0.7731309223823398,0.7930664495130689,0.7985513392706881,0.8192921577942065,0.770344755640926,0.7908771249202459,0.01793101611195684,4,0.6601307189542482,0.7076923076923075,0.6962457337883958,0.7375,0.6768292682926829,0.6956796057455268,0.02650520499376649,6,0.7745302713987474,0.7933194154488518,0.803347280334728,0.8200836820083682,0.7698744769874477,0.7922310252356286,0.018513012428838464,3
