,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_Macro F1,split1_test_Macro F1,split2_test_Macro F1,split3_test_Macro F1,split4_test_Macro F1,mean_test_Macro F1,std_test_Macro F1,rank_test_Macro F1,split0_test_Deceased macro F1,split1_test_Deceased macro F1,split2_test_Deceased macro F1,split3_test_Deceased macro F1,split4_test_Deceased macro F1,mean_test_Deceased macro F1,std_test_Deceased macro F1,rank_test_Deceased macro F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy
10,0.0027035236358642577,0.00024748351986859105,0.01745772361755371,0.00018912975128955402,15,2,uniform,"{'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",0.7529458698581702,0.7650742938282873,0.7582579131724585,0.8028974349117991,0.7717779924756741,0.7701907008492779,0.017539687489804796,14,0.6378737541528239,0.6666666666666666,0.6360424028268551,0.7058823529411765,0.6731391585760519,0.6639208670327148,0.025725254012775003,34,0.755741127348643,0.7682672233820459,0.7656903765690377,0.805439330543933,0.7740585774058577,0.7738393270499035,0.01687368873241963,12
11,0.002633333206176758,5.179667637399543e-05,0.006555318832397461,0.00010517918778153098,15,2,distance,"{'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",0.7432900432900432,0.7518208071184009,0.7612945492662474,0.7914153300062868,0.7371528210237887,0.7569947101409534,0.019034470931109538,27,0.6298701298701298,0.6666666666666665,0.6666666666666666,0.7037037037037036,0.6571428571428571,0.6648100048100047,0.02366091382131141,30,0.7453027139874739,0.7515657620041754,0.7615062761506276,0.7907949790794979,0.7343096234309623,0.7566958709305475,0.019199767158868487,29
12,0.0031148433685302735,0.0008051098195927954,0.0212552547454834,0.0020770818185592505,20,1,uniform,"{'n_neighbors': 20, 'p': 1, 'weights': 'uniform'}",0.7633017553265731,0.7777895598581713,0.7824917299605104,0.8231682204500356,0.7695526078067799,0.7832607746804141,0.0210209711567759,1,0.6534653465346534,0.69375,0.6843853820598007,0.7460815047021944,0.6829268292682926,0.6921218125129883,0.030176221799980647,1,0.7661795407098121,0.7807933194154488,0.7866108786610879,0.8242677824267782,0.7698744769874477,0.785545199640115,0.020706302177728127,1
13,0.0029014110565185546,0.00022710891357261882,0.008070850372314453,0.000577720984766663,20,1,distance,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}",0.7450207597195412,0.7514253466984031,0.7606917747564723,0.7955759925966727,0.7458541682385732,0.7597136084019326,0.018781515251224432,19,0.6298701298701298,0.6666666666666665,0.6645569620253164,0.7098765432098766,0.6685552407932012,0.6679051085130381,0.025382779303966166,15,0.7473903966597077,0.7515657620041754,0.7615062761506276,0.7949790794979079,0.7426778242677824,0.7596238677160402,0.018736561754789896,20
14,0.0037411212921142577,0.001158037504099632,0.02685246467590332,0.0047871971294138,20,2,uniform,"{'n_neighbors': 20, 'p': 2, 'weights': 'uniform'}",0.7591995438075917,0.7630479221652952,0.7833231760223938,0.8125755100019806,0.7731202021651304,0.7782532708324783,0.019101390398693283,5,0.6468646864686468,0.6666666666666666,0.6973684210526315,0.73125,0.6894409937888198,0.6863181535953531,0.028612893491950522,3,0.7620041753653445,0.7661795407098121,0.7866108786610879,0.8138075313807531,0.7740585774058577,0.780532140704571,0.0186300420171299,5
15,0.003635072708129883,0.0006868246394519755,0.011936092376708984,0.002102600489186181,20,2,distance,"{'n_neighbors': 20, 'p': 2, 'weights': 'distance'}",0.7433513124775261,0.7473964910985958,0.758675573369841,0.7936832506452759,0.7349574765710901,0.7556128208324658,0.020509675703078174,34,0.627831715210356,0.6605504587155964,0.6645569620253164,0.7076923076923075,0.6532951289398281,0.6627853145166809,0.02583249534277513,37,0.7453027139874739,0.7473903966597077,0.7594142259414226,0.7928870292887029,0.7322175732217573,0.7554423878198129,0.02061512179435609,37
16,0.0033629417419433595,0.0009106238424704981,0.022893619537353516,0.005082691542476752,25,1,uniform,"{'n_neighbors': 25, 'p': 1, 'weights': 'uniform'}",0.7580672181629201,0.7655094617431231,0.7834203399144327,0.8118603908877762,0.7725346848955351,0.7782784191207575,0.01875482645469796,4,0.6397306397306397,0.6710097719869708,0.6849315068493151,0.7225806451612904,0.6911314984709481,0.6818768124398328,0.02700435080472596,4,0.7620041753653445,0.7703549060542797,0.7887029288702929,0.8138075313807531,0.7740585774058577,0.7817856238153056,0.018192998273392335,4
17,0.0026637554168701173,0.0002485845724289764,0.00892176628112793,0.0015544798081358045,25,1,distance,"{'n_neighbors': 25, 'p': 1, 'weights': 'distance'}",0.747016943595586,0.7553277125076749,0.7519045052849762,0.7958336651515968,0.7416937724381089,0.7583553197955886,0.01929544878753901,23,0.6319218241042346,0.674846625766871,0.6539682539682541,0.7116564417177913,0.6609686609686609,0.6666723613051623,0.02642692742854976,24,0.7494780793319415,0.755741127348643,0.7531380753138075,0.7949790794979079,0.7384937238493724,0.7583660170683345,0.019228318889011147,24
18,0.002753543853759766,0.00033435372710275736,0.019975996017456053,0.0032983989958385745,25,2,uniform,"{'n_neighbors': 25, 'p': 2, 'weights': 'uniform'}",0.7451703138593322,0.7597530490114387,0.7761008361204117,0.8073342193366595,0.7638739657088282,0.770446476807334,0.020924191939910828,13,0.614334470989761,0.6644951140065146,0.6868686868686869,0.7142857142857143,0.6850152905198776,0.6729998553341108,0.033332252445729245,12,0.7494780793319415,0.7640918580375783,0.7803347280334728,0.8096234309623431,0.7656903765690377,0.7738436945868747,0.020384215304193015,11
19,0.002497291564941406,0.00016376851235927483,0.007584714889526367,0.00023315204335604096,25,2,distance,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance'}",0.7451759783048127,0.7507128330454728,0.7479955487550424,0.7936832506452759,0.7372545356416325,0.7549644292784472,0.0198758275269467,35,0.6298701298701298,0.6687306501547988,0.6518987341772151,0.7076923076923075,0.6571428571428571,0.6630669358074617,0.025633387744065976,36,0.7473903966597077,0.7515657620041754,0.7489539748953975,0.7928870292887029,0.7343096234309623,0.7550213572557892,0.019848278834215218,41
